Edad,Sexo,Alcance,Impresiones,Frecuencia,Resultados,Costo por resultado,Importe gastado (USD),CPM (costo por mil impresiones),Clics en el enlace,CPC (costo por clic en el enlace),CTR (porcentaje de clics en el enlace),ROAS,Tasa de resultados,Clics (todos),CPC (todos),CTR (todos),Comentarios de la publicación,Reacciones a la publicación,Interacción con una publicación,Veces que se compartió la publicación,Compras,Valor de conversión de compras,Pagos iniciados,Costo por pago iniciado
55-64,male,576,649,1.126736111,1,18.6,18.6,28.65947612,9,2.06666667,1.386748844,1.60860215,0.154083205,21,0.88571429,3.2357473,1,7,297,2,1,29.92,2,9.3
65+,female,552,632,1.144927536,1,16.66,16.66,26.36075949,15,1.11066667,2.373417722,2.09603842,0.158227848,22,0.75727273,3.48101266,,,441,1,1,34.92,3,5.55333333
25-34,male,880,1472,1.672727273,1,16.46,16.46,11.18206522,21,0.78380952,1.426630435,1.81773998,0.067934783,50,0.3292,3.39673913,2,11,636,5,1,29.92,8,2.0575
65+,male,368,464,1.260869565,2,8.129885028,16.25977006,35.04260788,17,0.95645706,3.663793103,4.60277112,0.431034483,31,0.52450871,6.68103448,,1,270,2,2,74.84,2,8.12988503
18-24,female,2212,2328,1.05244123,1,16.16,16.16,6.94158076,24,0.67333333,1.030927835,1.85148515,0.042955326,28,0.57714286,1.20274914,,19,945,9,1,29.92,7,2.30857143
55-64,female,619,619,1,1,15.56,15.56,25.13731826,19,0.81894737,3.069466882,1.92287918,0.161550889,28,0.55571429,4.52342488,,3,364,2,1,29.92,4,3.89
55-64,male,720,1002,1.391666667,1,15.55,15.55,15.51896208,21,0.74047619,2.095808383,2.88874598,0.099800399,36,0.43194444,3.59281437,,3,516,5,1,44.92,2,7.775
55-64,female,552,590,1.06884058,3,4.953547606,14.86064282,25.1875302,21,0.70764966,3.559322034,7.04949317,0.508474576,30,0.49535476,5.08474576,,4,305,2,3,104.76,5,2.97212856
55-64,female,468,515,1.10042735,2,6.31,12.62,24.50485437,16,0.78875,3.106796117,4.74167987,0.388349515,23,0.54869565,4.46601942,,3,248,,2,59.84,2,6.31
25-34,male,1168,1316,1.126712329,1,12.55,12.55,9.53647416,17,0.73823529,1.291793313,2.78247012,0.075987842,34,0.36911765,2.58358663,2,14,589,10,1,34.92,1,12.55
35-44,unknown,960,982,1.022916667,1,12.38,12.38,12.60692464,19,0.65157895,1.934826884,2.82067851,0.101832994,36,0.34388889,3.66598778,1,5,440,7,1,34.92,2,6.19
35-44,male,1040,1196,1.15,2,5.965,11.93,9.97491639,22,0.54227273,1.839464883,5.01592624,0.16722408,38,0.31394737,3.17725753,,4,509,3,2,59.84,6,1.98833333
65+,male,192,340,1.770833333,2,5.039983136,10.07996627,29.64695963,4,2.51999157,1.176470588,5.9365278,0.588235294,8,1.25999578,2.35294118,,3,160,1,2,59.84,4,2.51999157
35-44,unknown,352,647,1.838068182,1,9.850107189,9.850107189,15.22427695,12,0.82084227,1.854714065,3.0375304,0.154559505,33,0.2984881,5.10046368,1,1,238,,1,29.92,2,4.92505359
18-24,male,864,948,1.097222222,1,9.64,9.64,10.16877637,11,0.87636364,1.160337553,3.62240664,0.105485232,21,0.45904762,2.21518987,,5,377,3,1,34.92,2,4.82
65+,female,398,398,1,1,9.45,9.45,23.74371859,12,0.7875,3.015075377,3.16613757,0.251256281,22,0.42954545,5.52763819,,2,212,1,1,29.92,1,9.45
65+,female,389,389,1,1,9.010233504,9.010233504,23.162554,15,0.60068223,3.856041131,3.32066866,0.257069409,21,0.42905874,5.39845758,,3,190,1,1,29.92,3,3.00341117
35-44,unknown,544,1099,2.020220588,2,4.494965816,8.989931631,8.18010158,20,0.44949658,1.819836215,6.65633538,0.181983621,47,0.19127514,4.2766151,,2,460,5,2,59.84,1,8.98993163
35-44,male,704,852,1.210227273,1,8.4,8.4,9.85915493,15,0.56,1.76056338,3.56190476,0.117370892,27,0.31111111,3.16901408,,6,419,5,1,29.92,4,2.1
65+,male,256,292,1.140625,1,8.3,8.3,28.42465753,6,1.38333333,2.054794521,5.41204819,0.342465753,15,0.55333333,5.1369863,,1,146,1,1,44.92,5,1.66
25-34,male,792,822,1.037878788,1,8.26,8.26,10.0486618,16,0.51625,1.946472019,3.62227603,0.121654501,30,0.27533333,3.64963504,3,6,378,7,1,29.92,2,4.13
45-54,unknown,192,599,3.119791667,2,4.129968591,8.259937183,13.78954455,15,0.55066248,2.504173623,7.24460715,0.333889816,22,0.37545169,3.67278798,1,1,298,1,2,59.84,4,2.0649843
55-64,female,278,279,1.003597122,1,8.250621469,8.250621469,29.57211996,6,1.37510358,2.150537634,5.44443836,0.358422939,8,1.03132768,2.86738351,,,131,,1,44.92,1,8.25062147
35-44,male,696,696,1,1,7.89,7.89,11.3362069,14,0.56357143,2.011494253,3.79214195,0.143678161,20,0.3945,2.87356322,,6,353,4,1,29.92,3,2.63
65+,male,320,384,1.2,1,6.7,6.7,17.44791667,6,1.11666667,1.5625,4.46567164,0.260416667,11,0.60909091,2.86458333,1,1,232,,1,29.92,2,3.35
45-54,male,353,353,1,1,6.58,6.58,18.64022663,9,0.73111111,2.549575071,4.54711246,0.283286119,16,0.41125,4.5325779,,3,182,2,1,29.92,3,2.19333333
25-34,male,692,692,1,1,6.51,6.51,9.40751445,10,0.651,1.445086705,5.3640553,0.144508671,14,0.465,2.02312139,1,,310,1,1,34.92,1,6.51
25-34,male,600,676,1.126666667,1,6.42,6.42,9.49704142,15,0.428,2.218934911,5.43925234,0.147928994,19,0.33789474,2.81065089,,2,336,3,1,34.92,5,1.284
45-54,unknown,176,277,1.573863636,1,5.989915291,5.989915291,21.62424293,5,1.19798306,1.805054152,4.99506229,0.36101083,10,0.59899153,3.6101083,,2,124,,1,29.92,1,5.98991529
35-44,male,380,408,1.073684211,1,5.890254791,5.890254791,14.436899,6,0.98170913,1.470588235,5.07957653,0.245098039,9,0.65447275,2.20588235,,3,180,1,1,29.92,1,5.89025479
65+,female,192,210,1.09375,1,5.7,5.7,27.14285714,8,0.7125,3.80952381,5.24912281,0.476190476,12,0.475,5.71428571,,1,112,2,1,29.92,2,2.85
25-34,male,456,536,1.175438596,1,5.15,5.15,9.60820896,5,1.03,0.932835821,6.78058252,0.186567164,7,0.73571429,1.30597015,,2,264,,1,34.92,2,2.575
35-44,male,656,656,1,1,4.95,4.95,7.54573171,9,0.55,1.37195122,6.04444444,0.152439024,16,0.309375,2.43902439,,6,327,2,1,29.92,2,2.475
25-34,male,414,414,1,2,2.455,4.91,11.85990338,6,0.81833333,1.449275362,14.22403259,0.483091787,6,0.81833333,1.44927536,,,199,1,2,69.84,2,2.455
18-24,male,288,462,1.604166667,1,4.33,4.33,9.37229437,5,0.866,1.082251082,6.90993072,0.216450216,11,0.39363636,2.38095238,2,4,189,2,1,29.92,1,4.33
25-34,unknown,192,338,1.760416667,1,3.71,3.71,10.97633136,4,0.9275,1.183431953,8.06469003,0.295857988,15,0.24733333,4.43786982,1,1,133,,1,29.92,2,1.855
25-34,unknown,64,337,5.265625,1,3.689987653,3.689987653,10.94951826,5,0.73799753,1.483679525,8.10842821,0.296735905,11,0.33545342,3.26409496,,1,107,,1,29.92,4,0.92249691
25-34,unknown,160,211,1.31875,2,1.674976313,3.349952625,15.87655273,4,0.83748816,1.895734597,17.86293918,0.947867299,8,0.41874408,3.79146919,,,79,1,2,59.84,2,1.67497631
45-54,unknown,112,206,1.839285714,1,3.22,3.22,15.63106796,7,0.46,3.398058252,9.29192547,0.485436893,12,0.26833333,5.82524272,1,2,103,,1,29.92,4,0.805
18-24,male,320,503,1.571875,2,1.56998806,3.13997612,6.24249726,12,0.26166468,2.385685885,19.05746977,0.397614314,21,0.14952267,4.1749503,1,2,201,,2,59.84,2,1.56998806
25-34,unknown,160,221,1.38125,2,1.26,2.52,11.40271493,9,0.28,4.07239819,25.73015873,0.904977376,13,0.19384615,5.88235294,,1,89,1,2,64.84,3,0.84
55-64,unknown,32,77,2.40625,1,2.5,2.5,32.46753247,2,1.25,2.597402597,11.968,1.298701299,5,0.5,6.49350649,,,38,,1,29.92,2,1.25
18-24,male,160,236,1.475,1,2.29,2.29,9.70338983,5,0.458,2.118644068,15.2489083,0.423728814,6,0.38166667,2.54237288,,1,126,1,1,34.92,2,1.145
35-44,female,112,113,1.008928571,1,2.02,2.02,17.87610619,4,0.505,3.539823009,17.28712871,0.884955752,5,0.404,4.42477876,,1,47,,1,34.92,3,0.67333333
65+,unknown,32,79,2.46875,1,1.82,1.82,23.03797468,4,0.455,5.063291139,16.43956044,1.265822785,7,0.26,8.86075949,,1,43,1,1,29.92,2,0.91
35-44,unknown,135,135,1,1,1.76991551,1.76991551,13.11048526,4,0.44247888,2.962962963,16.90476174,0.740740741,6,0.29498592,4.44444444,,,64,1,1,29.92,1,1.76991551
45-54,unknown,52,52,1,1,1.34,1.34,25.76923077,2,0.67,3.846153846,22.32835821,1.923076923,3,0.44666667,5.76923077,,1,31,,1,29.92,1,1.34
25-34,female,81,82,1.012345679,1,0.79,0.79,9.63414634,2,0.395,2.43902439,44.20253165,1.219512195,2,0.395,2.43902439,,,34,,1,34.92,2,0.395
